time,interest,stockBonus,stockGift,allotNum,allotPrice,gugai,dr
20200605,1.5,0.0,0.0,0.0,0.0,0,0.98203162
20201012,5.0,0.0,5.0,0.0,0.0,0,0.64513907
20210420,30.0,0.0,0.0,0.0,0.0,0,0.8041264
20210930,0.0,0.0,5.0,0.0,0.0,0,0.66666667
20220613,7.5,0.0,2.0,0.0,0.0,0,0.62774123
20230607,1.0,0.0,0.0,0.0,0.0,0,0.95531725
20240531,0.8,0.0,0.0,0.0,0.0,0,0.96780684
20241031,0.5,0.0,0.0,0.0,0.0,0,0.98103187
20250613,1.0,0.0,0.0,0.0,0.0,0,0.95713673
20250930,0.5,0.0,0.0,0.0,0.0,0,0.98630137
20260611,1.0,0.0,0.0,0.0,0.0,0,0.97850849
